tag_index,tag_name,unmasked_weight,masked_rowsum,p,N,Nd
382,min:26575548,31,43206387628,68724326401,11580,405184
383,min:26575549,36,67666940586,68724326401,11580,405184
384,min:26575550,32,7594312575,68724326401,11580,405184
385,min:26575551,33,51727690641,68724326401,11580,405184
386,min:26575552,30,45626878272,68724326401,11580,405184
387,min:26575553,34,61929917766,68724326401,11580,405184
388,min:26575554,34,32189213079,68724326401,11580,405184
389,min:26575555,30,31051553562,68724326401,11580,405184
390,min:26575556,35,21864269558,68724326401,11580,405184
391,min:26575557,32,64207323178,68724326401,11580,405184
392,min:26575558,35,43379482752,68724326401,11580,405184
393,min:26575559,28,59044196394,68724326401,11580,405184
394,min:26575560,33,14432990339,68724326401,11580,405184
395,min:26575561,31,49455304571,68724326401,11580,405184
396,min:26575562,32,43019502901,68724326401,11580,405184
397,min:26575563,31,33945110061,68724326401,11580,405184
398,min:26575564,34,30568699403,68724326401,11580,405184
399,min:26575565,35,19617050136,68724326401,11580,405184
400,min:26575566,33,10315431603,68724326401,11580,405184
401,min:26575567,34,58227876951,68724326401,11580,405184
402,min:26575568,33,19711900913,68724326401,11580,405184
403,min:26575569,31,36167746721,68724326401,11580,405184
404,min:26575570,34,45201563993,68724326401,11580,405184
405,min:26575571,34,32194993423,68724326401,11580,405184
406,min:26575572,32,66551201936,68724326401,11580,405184
407,min:26575573,33,47345556659,68724326401,11580,405184
408,min:26575574,33,58934533537,68724326401,11580,405184
409,min:26575575,33,19133908733,68724326401,11580,405184
410,min:26575576,30,21877657598,68724326401,11580,405184
411,min:26575577,34,59759523976,68724326401,11580,405184
412,min:26575578,33,11175285283,68724326401,11580,405184
413,min:26575579,35,18406667085,68724326401,11580,405184
414,min:26575580,35,17278879140,68724326401,11580,405184
415,min:26575581,32,46740897444,68724326401,11580,405184
416,min:26575582,34,17273042222,68724326401,11580,405184
417,min:26575583,36,66047816,68724326401,11580,405184
418,min:26575584,31,13126975145,68724326401,11580,405184
419,min:26575585,31,17791724680,68724326401,11580,405184
420,min:26575586,36,1424624417,68724326401,11580,405184
421,min:26575587,35,55849292475,68724326401,11580,405184
422,min:26575588,36,3594900301,68724326401,11580,405184
423,min:26575589,34,1630393591,68724326401,11580,405184
424,min:26575590,34,42702757551,68724326401,11580,405184
425,min:26575591,35,37313205686,68724326401,11580,405184
426,min:26575592,35,48609810926,68724326401,11580,405184
427,min:26575593,32,62204981948,68724326401,11580,405184
428,min:26575594,31,30322260264,68724326401,11580,405184
429,min:26575595,37,42095862916,68724326401,11580,405184
430,min:26575596,31,37202667891,68724326401,11580,405184
431,min:26575597,34,2926589138,68724326401,11580,405184
432,min:26575598,28,54501506201,68724326401,11580,405184
433,min:26575599,36,62790875778,68724326401,11580,405184
434,min:26575600,33,6272315466,68724326401,11580,405184
435,min:26575601,34,6053343554,68724326401,11580,405184
436,min:26575602,35,475538166,68724326401,11580,405184
437,min:26575603,35,36621168596,68724326401,11580,405184
438,min:26575604,35,56539166823,68724326401,11580,405184
439,min:26575605,33,4944858123,68724326401,11580,405184
440,min:26575606,33,41010290285,68724326401,11580,405184
441,min:26575607,34,26933505478,68724326401,11580,405184
442,min:26575608,33,62851379643,68724326401,11580,405184
443,min:26575609,38,16973464033,68724326401,11580,405184
444,min:26575610,34,59178145089,68724326401,11580,405184
445,min:26575611,37,17129591818,68724326401,11580,405184
446,min:26575612,35,633987565,68724326401,11580,405184
447,min:26575613,37,25546598243,68724326401,11580,405184
448,min:26575614,30,9047686433,68724326401,11580,405184
449,min:26575615,36,26021684007,68724326401,11580,405184
450,min:26575616,30,19591894912,68724326401,11580,405184
451,min:26575617,35,52881258639,68724326401,11580,405184
452,min:26575618,36,10550467904,68724326401,11580,405184
453,min:26575619,35,65839753447,68724326401,11580,405184
454,min:26575620,37,53025995800,68724326401,11580,405184
455,min:26575621,34,60852247096,68724326401,11580,405184
456,min:26575622,35,16751518575,68724326401,11580,405184
457,min:26575623,31,24487221835,68724326401,11580,405184
458,min:26575624,34,4422264694,68724326401,11580,405184
459,min:26575625,32,10950379254,68724326401,11580,405184
460,min:26575626,33,25387909325,68724326401,11580,405184
461,min:26575627,35,43266604626,68724326401,11580,405184
462,min:26575628,31,12539234935,68724326401,11580,405184
463,min:26575629,33,15776278955,68724326401,11580,405184
464,min:26575630,38,28227410809,68724326401,11580,405184
465,min:26575631,34,19069207291,68724326401,11580,405184
466,min:26575632,35,50231451677,68724326401,11580,405184
467,min:26575633,31,21986569364,68724326401,11580,405184
468,min:26575634,36,67166930811,68724326401,11580,405184
469,min:26575635,31,9631986659,68724326401,11580,405184
470,min:26575636,33,58514087677,68724326401,11580,405184
471,min:26575637,34,66380893138,68724326401,11580,405184
472,min:26575638,35,21804057092,68724326401,11580,405184
473,min:26575639,28,36402508075,68724326401,11580,405184
474,min:26575640,36,39040612114,68724326401,11580,405184
475,min:26575641,33,2228587870,68724326401,11580,405184
476,min:26575642,37,14544064173,68724326401,11580,405184
477,min:26575643,34,54248453104,68724326401,11580,405184
478,min:26575644,33,5482178643,68724326401,11580,405184
479,min:26575645,34,5224609456,68724326401,11580,405184
480,min:26575646,36,62480708949,68724326401,11580,405184
481,min:26575647,32,38637115424,68724326401,11580,405184
482,min:26575648,31,54866872744,68724326401,11580,405184
483,min:26575649,33,68260642313,68724326401,11580,405184
484,min:26575650,33,46829856388,68724326401,11580,405184
485,min:26575651,34,12100644510,68724326401,11580,405184
486,min:26575652,34,35718753057,68724326401,11580,405184
487,min:26575653,34,30937453711,68724326401,11580,405184
488,min:26575654,36,12619761544,68724326401,11580,405184
489,min:26575655,32,18436557745,68724326401,11580,405184
490,min:26575656,29,49188015929,68724326401,11580,405184
491,min:26575657,34,49946696578,68724326401,11580,405184
492,min:26575658,34,44853359148,68724326401,11580,405184
493,min:26575659,33,56687335226,68724326401,11580,405184
494,min:26575660,33,927067806,68724326401,11580,405184
495,min:26575661,32,12701015321,68724326401,11580,405184
496,min:26575662,36,27793723098,68724326401,11580,405184
497,min:26575663,35,9195743333,68724326401,11580,405184
498,min:26575664,33,33571139422,68724326401,11580,405184
499,min:26575665,31,46030229999,68724326401,11580,405184
500,min:26575666,35,59854262470,68724326401,11580,405184
501,min:26575667,33,11596555571,68724326401,11580,405184
502,min:26575668,35,19025075481,68724326401,11580,405184
503,min:26575669,36,52077124234,68724326401,11580,405184
504,min:26575670,33,45332748805,68724326401,11580,405184
505,min:26575671,32,3433834424,68724326401,11580,405184
506,min:26575672,35,46002549759,68724326401,11580,405184
507,min:26575673,37,62654561248,68724326401,11580,405184
508,min:26575674,32,45788922694,68724326401,11580,405184
509,min:26575675,38,53308825136,68724326401,11580,405184
510,min:26575676,34,8537102703,68724326401,11580,405184
511,min:26575677,33,8278301856,68724326401,11580,405184
512,min:26575678,37,16511559599,68724326401,11580,405184
513,min:26575679,35,28197055059,68724326401,11580,405184
514,min:26575680,37,64362437115,68724326401,11580,405184
515,min:26575681,37,36270632987,68724326401,11580,405184
516,min:26575682,31,49562113369,68724326401,11580,405184
517,min:26575683,37,21229169611,68724326401,11580,405184
518,min:26575684,34,35862565674,68724326401,11580,405184
519,min:26575685,36,29238788525,68724326401,11580,405184
520,min:26575686,34,52474369982,68724326401,11580,405184
521,min:26575687,36,6505932451,68724326401,11580,405184
522,min:26575688,34,33002058751,68724326401,11580,405184
523,min:26575689,38,60350533628,68724326401,11580,405184
524,min:26575690,35,66718036276,68724326401,11580,405184
525,min:26575691,32,51465151912,68724326401,11580,405184
526,min:26575692,33,27891383038,68724326401,11580,405184
527,min:26575693,33,52844091944,68724326401,11580,405184
528,min:26575694,30,3606422522,68724326401,11580,405184
